Age,Height_cm,Weight_kg,Salary,Experience_years
56.00,157.00,74.20,41531.64,23.30
46.00,178.80,73.00,34969.30,6.10
32.00,179.10,56.60,54196.36,32.00
25.00,178.90,64.90,8885.68,14.70
38.00,156.20,39.90,43120.71,13.40
56.00,165.80,86.20,45399.25,18.20
36.00,160.10,61.30,27135.64,1.60
40.00,174.20,74.60,61966.04,5.80
28.00,182.10,72.40,32912.87,25.80
28.00,173.70,81.30,54016.14,2.90
41.00,165.10,59.80,91756.66,21.10
53.00,161.30,67.40,25834.92,8.60
57.00,171.50,71.70,47771.73,13.60
41.00,152.80,75.50,43888.10,10.10
20.00,170.40,78.90,40970.47,12.40
39.00,155.90,59.30,61403.77,25.20
19.00,171.20,57.00,66594.94,10.40
41.00,163.40,81.30,61574.57,19.80
47.00,161.10,40.60,39149.91,16.70
55.00,156.10,83.80,86507.72,23.20
19.00,161.40,61.40,23446.35,32.80
38.00,170.60,64.90,34510.56,25.60
50.00,175.40,56.80,52545.94,7.50
29.00,170.30,64.40,51340.91,1.10
39.00,178.60,80.30,57320.66,9.20
42.00,190.40,74.30,73702.01,20.80
44.00,161.80,70.90,48202.24,1.80
59.00,162.90,66.10,51705.94,17.40
45.00,150.60,47.70,41082.26,20.90
33.00,176.90,54.90,58824.93,11.70
32.00,178.00,60.90,45222.82,27.00
20.00,156.30,70.50,45214.14,3.70
54.00,171.20,65.80,58152.25,2.60
24.00,177.20,76.80,65523.81,25.50
38.00,167.30,70.70,16878.40,17.30
26.00,173.50,65.70,55411.68,24.10
56.00,166.70,92.30,45946.95,15.20
35.00,152.80,69.90,64214.25,8.60
21.00,175.50,59.80,46248.16,28.70
42.00,178.30,87.30,69515.79,28.00
31.00,172.30,79.40,39853.80,24.30
26.00,155.50,86.80,16545.05,9.50
43.00,157.50,63.70,65773.90,20.70
19.00,153.70,76.70,37346.83,12.60
37.00,172.70,47.60,26296.22,3.20
45.00,177.70,74.40,50240.80,32.10
24.00,169.20,63.10,46412.32,4.80
25.00,174.40,48.70,62346.57,33.30
52.00,156.30,77.40,63386.16,15.60
31.00,166.50,43.30,51434.31,6.50
34.00,151.30,42.00,36727.76,19.00
53.00,157.30,69.30,54304.12,30.60
57.00,173.80,71.90,52477.92,25.60
21.00,162.60,76.60,58534.05,28.20
19.00,177.10,73.90,36877.90,23.10
23.00,170.40,82.70,43994.41,24.20
59.00,192.30,73.40,57640.67,29.70
21.00,165.90,63.40,68709.91,8.70
46.00,150.90,64.10,64488.83,17.10
35.00,164.70,61.60,51230.82,7.70
43.00,155.40,68.50,42689.07,34.60
51.00,174.80,51.80,56057.31,33.00
27.00,165.40,69.10,33629.14,1.40
53.00,163.60,64.00,37744.98,24.70
31.00,163.80,68.30,72646.57,32.40
48.00,172.40,68.30,56030.52,6.30
32.00,160.50,35.60,44787.10,19.90
25.00,172.80,54.20,62437.08,32.00
31.00,175.50,63.70,69304.62,1.20
40.00,161.60,64.30,43330.44,24.40
57.00,155.70,68.10,43588.88,10.40
38.00,159.90,68.60,41710.31,32.40
33.00,172.10,83.20,64457.75,34.00
35.00,165.90,68.70,64603.36,33.00
41.00,171.30,61.20,70788.55,16.60
43.00,182.60,45.80,65129.04,30.20
42.00,167.30,48.60,25516.73,29.60
58.00,156.90,71.40,54214.46,11.20
46.00,175.60,77.70,34124.22,29.00
32.00,165.50,83.50,42306.28,1.30
18.00,173.70,55.10,52558.91,20.90
42.00,175.70,61.40,62533.48,8.10
24.00,155.40,67.90,36637.35,4.20
26.00,178.80,89.60,15129.21,2.70
41.00,174.10,66.40,52707.96,24.40
18.00,159.00,83.60,89653.57,11.90
25.00,168.00,67.00,46957.31,25.40
41.00,167.60,78.80,50703.73,2.30
28.00,165.20,77.30,76732.45,11.00
34.00,173.70,67.00,58854.12,18.90
25.00,179.40,52.80,53252.92,27.70
52.00,165.10,61.80,56631.75,11.20
52.00,178.30,82.90,53753.66,21.90
50.00,174.90,75.50,32903.68,31.00
22.00,167.30,59.80,29878.32,21.60
59.00,166.80,60.90,78302.42,8.20
56.00,153.50,44.20,52758.25,0.90
58.00,150.00,82.30,51501.43,30.50
45.00,166.70,75.60,48646.59,0.70
24.00,156.40,63.40,61716.10,30.60
26.00,164.60,67.40,88080.37,18.50
25.00,159.70,38.90,57859.29,32.90
29.00,147.10,59.20,41178.70,28.00
51.00,168.60,81.00,47998.99,34.90
50.00,160.90,76.80,66064.95,12.30
40.00,165.80,69.00,41257.99,26.90
41.00,156.10,64.80,62783.70,14.10
54.00,161.70,74.60,15188.94,16.80
52.00,180.60,61.60,46551.81,22.00
57.00,166.30,45.00,59422.10,30.60
39.00,170.50,64.90,69051.88,34.40
44.00,152.30,69.80,37722.89,26.90
52.00,188.90,78.50,27458.52,14.60
18.00,183.40,47.70,46088.97,14.70
52.00,178.60,63.50,33118.71,25.80
54.00,173.30,64.10,47764.45,8.40
31.00,165.20,51.80,49900.20,3.90
20.00,169.40,70.90,30212.82,12.40
18.00,175.50,74.00,62066.59,10.10
22.00,158.70,61.50,47641.79,10.40
43.00,160.60,89.70,66206.90,8.20
31.00,148.30,61.20,22326.42,1.50
56.00,157.30,59.60,34742.12,0.60
44.00,181.60,59.30,57750.04,34.60
26.00,161.70,55.20,38013.34,15.00
32.00,161.80,58.30,47531.97,13.50
32.00,168.20,47.80,50010.49,23.80
43.00,148.90,62.70,52373.84,7.60
59.00,174.50,65.70,39836.51,33.20
30.00,177.70,37.60,52239.30,27.50
49.00,168.80,63.80,38261.84,3.10
56.00,181.50,65.50,60114.21,14.60
49.00,151.70,71.20,48277.34,30.80
21.00,183.40,79.50,52325.55,33.10
47.00,157.70,75.20,88548.90,16.40
54.00,152.20,57.60,33393.43,21.50
40.00,162.60,56.20,70828.73,5.80
56.00,183.70,72.00,10109.73,34.70
32.00,164.80,58.40,18824.35,8.10
46.00,155.70,50.30,31390.40,33.00
53.00,152.10,93.50,32337.07,22.70
30.00,163.90,61.30,53055.53,21.30
49.00,145.10,57.50,54347.63,17.90
24.00,152.00,38.70,46177.68,8.10
39.00,180.40,75.20,47751.83,6.20
45.00,178.20,53.10,57916.47,7.70
19.00,163.70,65.30,62498.36,6.50
59.00,160.30,76.60,30101.91,27.30
23.00,165.60,53.30,44571.64,12.30
45.00,188.50,66.00,48956.15,2.00
45.00,169.00,83.30,57279.74,33.90
37.00,174.10,35.50,38409.99,30.90
47.00,163.00,55.30,48661.68,32.50
28.00,165.60,54.10,50449.75,34.80
45.00,171.50,62.80,39432.95,6.10
42.00,166.30,64.40,39075.27,13.90
56.00,146.00,52.30,51481.19,26.50
50.00,177.80,57.10,48044.82,24.40
18.00,158.80,55.70,57507.16,5.40
44.00,186.10,60.80,34201.12,28.60
30.00,171.90,67.60,44739.78,7.90
58.00,165.70,75.90,46561.76,7.80
20.00,169.40,77.70,62207.96,18.80
56.00,163.90,72.80,35893.79,20.80
23.00,160.10,54.50,53519.78,20.30
25.00,167.10,65.00,53791.33,3.20
44.00,173.80,93.50,74695.96,30.70
26.00,160.40,77.20,34893.66,9.30
54.00,158.80,59.70,40141.50,4.50
50.00,161.40,84.00,35939.66,31.10
59.00,174.50,60.30,24953.31,33.40
41.00,179.50,57.00,76470.30,30.20
32.00,168.60,81.70,31377.48,28.30
49.00,170.80,49.30,37755.42,22.90
49.00,158.70,42.00,69736.50,19.30
41.00,173.80,76.30,23703.39,3.00
58.00,170.50,65.30,61345.27,14.30
29.00,157.90,66.50,28804.63,13.00
56.00,147.10,60.70,68700.42,9.10
19.00,152.80,62.10,17451.83,25.30
20.00,158.30,59.50,23697.96,17.40
54.00,176.60,57.50,41826.17,2.80
34.00,180.50,60.40,64577.34,7.70
19.00,160.60,60.00,49535.63,23.90
19.00,160.90,55.10,44964.27,2.70
45.00,167.60,58.50,70190.66,29.80
40.00,165.10,35.00,82328.59,17.30
54.00,174.30,73.20,60083.86,16.80
49.00,159.80,69.70,40657.18,20.70
50.00,174.50,64.00,43727.85,28.90
18.00,162.60,67.80,30673.29,12.20
36.00,173.50,68.30,51512.26,23.70
19.00,162.30,56.30,25556.11,19.80
43.00,158.90,58.60,58277.95,9.30
49.00,184.10,71.30,80083.61,30.80
23.00,175.70,67.50,60763.87,27.90
49.00,147.10,89.50,42962.78,23.00
21.00,160.50,84.40,57904.06,29.80
28.00,177.00,76.20,74308.00,30.40
34.00,153.00,55.90,73557.42,24.80
